./kij, 2, 0.000954, 0.017, 0.020000
./kij, 2, 0.000000, inf, 0.020000
./kij, 2, 0.000000, inf, 0.020000
./kij, 2, 0.000000, inf, 0.020000
./kij, 2, 0.001192, 0.013, 0.020000
./kij, 4, 0.000000, inf, 0.280000
./kij, 4, 0.000000, inf, 0.280000
./kij, 4, 0.000954, 0.134, 0.280000
./kij, 4, 0.000000, inf, 0.280000
./kij, 4, 0.000954, 0.134, 0.280000
./kij, 8, 0.003099, 0.330, 2.800000
./kij, 8, 0.001907, 0.537, 2.800000
./kij, 8, 0.002146, 0.477, 2.800000
./kij, 8, 0.001907, 0.537, 2.800000
./kij, 8, 0.001907, 0.537, 2.800000
./kij, 16, 0.015020, 0.545, 24.799999
./kij, 16, 0.015974, 0.513, 24.799999
./kij, 16, 0.018120, 0.452, 24.799999
./kij, 16, 0.014782, 0.554, 24.799999
./kij, 16, 0.015020, 0.545, 24.799999
./kij, 32, 0.119925, 0.546, 208.319992
./kij, 32, 0.119925, 0.546, 208.319992
./kij, 32, 0.119925, 0.546, 208.319992
./kij, 32, 0.119925, 0.546, 208.319992
./kij, 32, 0.121117, 0.541, 208.319992
./kij, 64, 0.931978, 0.563, 1706.880127
./kij, 64, 0.949144, 0.552, 1706.880127
./kij, 64, 0.927925, 0.565, 1706.880127
./kij, 64, 0.944853, 0.555, 1706.880127
./kij, 64, 0.938892, 0.558, 1706.880127
./kij, 128, 7.431030, 0.564, 13817.601562
./kij, 128, 7.400036, 0.567, 13817.601562
./kij, 128, 7.394791, 0.567, 13817.601562
./kij, 128, 7.365942, 0.569, 13817.601562
./kij, 128, 7.425070, 0.565, 13817.601562
./kij, 256, 60.635805, 0.553, 111193.601562
./kij, 256, 60.745001, 0.552, 111193.601562
./kij, 256, 61.038971, 0.550, 111193.601562
./kij, 256, 60.701132, 0.553, 111193.601562
./kij, 256, 61.027050, 0.550, 111193.601562
./kij, 512, 484.610081, 0.554, 892165.187500
./kij, 512, 483.503819, 0.555, 892165.187500
./kij, 512, 484.469891, 0.554, 892165.187500
./kij, 512, 488.031149, 0.550, 892165.187500
./kij, 512, 490.216970, 0.548, 892165.187500
./kij, 1024, 3946.615934, 0.544, 7147797.000000
./kij, 1024, 3986.122847, 0.539, 7147797.000000
./kij, 1024, 3945.826054, 0.544, 7147797.000000
./kij, 1024, 3857.497931, 0.557, 7147797.000000
